sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
D5-D4-D9b-D4u,74375,-0.05716628006331598,0.020786228229576327,0.008688556876614508,0.0025309989545127193,0.00038818712362566875,4.837060177076147e-05,0.0,0.0,0.0,0.0
D5,74345,-0.05879898678861922,0.021467417825119312,-0.008642389539229722,-0.0017340047484938458,0.00035075919609629976,4.6034032377116227e-05,0.0,0.0,0.0,0.0
D1/D4-D2-D4c,74299,-7.960050477400829e-05,-0.005839168332177184,-0.0009506982778240498,0.0035551444141147413,-0.0026603374846244626,0.0007587174067865896,0.0,0.0,0.0,0.0
D1/D4/D6,74302,-0.007239034025676444,-0.018696545192064942,0.0019395752457442388,-0.007443937402122244,-0.0021236151826747813,-0.00011704327693628032,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D2,74306,0.0031208274977390536,-0.004469156780041115,-0.0009220707121570634,0.0033314195736307223,0.0005796850405270922,0.0006498011472077634,0.0,0.0,0.0,0.0
D1/D4-D1c,74311,0.009982668467664348,0.0004275830471536065,0.00046581768273436903,-0.002265623440815292,0.0036676331247422036,-9.628196238753846e-05,0.0,0.0,0.0,0.0
D4,74322,-0.020962099079636344,0.007749046934365233,0.0010953275029100948,-0.0043111316170370345,-0.001026656206617077,-0.00024261905748646482,0.0,0.0,0.0,0.0
D1-D4-D2-D4c-D4f,74336,0.001408475079009532,-0.00717353788537637,-0.0016127320522170308,0.0061774558980319865,-0.001083737578254342,-0.0011535048571911877,0.0,0.0,0.0,0.0
D1bv,74395,0.13364638729055484,0.017746488674395718,0.00018692313864755397,-0.0007058810543279664,-0.00017243834541998454,4.172146954250429e-06,0.0,0.0,0.0,0.0
D1/D6,74310,-0.003912357872945673,-0.03199835652095061,-0.00024830986522269053,0.0008655594225063427,0.002080520312599468,0.000102353818904554,0.0,0.0,0.0,0.0
proportion_explained,0,0.890692304869935,0.09707511883877157,0.005647392071426956,0.005360362592705962,0.0011391187866072795,8.57028405531154e-05,0.0,0.0,0.0,0.0
